"CD_CLUB","LB_CLUB","LB_VILLE","LB_PAYS","LB_CODE_POSTAL","TS_VERSION_END","TS_INSERT"
FR_AHBCA_15000,AURILLAC HANDBALL CANTAL AUVERGNE,AURILLAC,FRANCE,"15000","2021-01-07 14:58:41",
FR_ASCOHB_49000,ANGERS SCO HANDBALL,ANGERS,FRANCE,"49000","2021-01-07 14:58:41",
FR_BHBPP_64140,BILLERE HANDBALL PAU PYRENEES,BILLERE,FRANCE,"64140","2021-01-07 14:58:41",
FR_CCMHB_28000,C'CHARTRES METROPOLE HANDBALL,CHARTRES,FRANCE,"28000","2021-01-07 14:58:41",
FR_CRMHB_35510,CESSON RENNES METROPOLE HB,CESSON-RENNES,FRANCE,"35510","2021-01-07 14:58:41",
FR_CSMBHB_73000,CHAMBERY SAVOIE MONT BLANC HANDBALL,CHAMBERY,FRANCE,"73000","2021-01-07 14:58:41",
FR_DHBGL_59140,DUNKERQUE HANDBALL GRAND LITTORAL,DUNKERQUE,FRANCE,"59140","2021-01-07 14:58:41",
FR_DMHB_21000,DIJON METROPOLE HANDBALL,DIJON,FRANCE,"21000","2021-01-07 14:58:41",
FR_FTHB_31000,FENIX TOULOUSE HANDBALL,TOULOUSE,FRANCE,"31000","2021-01-07 14:58:41",
FR_HBCN_44200,HBC NANTES,NANTES,FRANCE,"44200","2021-01-07 14:58:41",
FR_HBCVB_69655,HBC VILLEFRANCHE EN BEAUJOLAIS,VILLEFRANCHE SUR SAONE,FRANCE,"69655","2021-01-07 14:58:41",
FR_IPHB_13806,ISTRES PROVENCE HANDBALL,ISTRES,FRANCE,"13806","2021-01-07 14:58:41",
FR_LGHB_93190,LIVRY GARGAN HB,LIVRY,FRANCE,"93190","2021-01-07 14:58:41",
FR_LHB_87000,LIMOGES HANDBALL,LIMOGES,FRANCE,"87000","2021-01-07 14:58:41",
FR_MEHB_91300,MASSY ESSONNE HANDBALL,MASSY,FRANCE,"91300","2021-01-07 14:58:41",
FR_MHB_34000,MONTPELLIER HANDBALL,MONTPELLIER,FRANCE,"34000","2021-01-07 14:58:41",
FR_PAUC_13100,PAYS D'AIX UNIVERSITE CLUB,AIX,FRANCE,"13100","2021-01-07 14:58:41",
FR_PCHB_77340,PONTAULT COMBAULT HANDBALL,PONTAULT,FRANCE,"77340","2021-01-07 14:58:41",
FR_PSGHB_75016,PARIS SAINT GERMAIN HANDBALL,PARIS,FRANCE,"75016","2021-01-07 14:58:41",
FR_SAHB_80262,SELESTAT ALSACE HANDBALL,SELESTAT,FRANCE,"80262","2021-01-07 14:58:41",
FR_SCTHB_37540,SAINT CYR TOURAINE HB,SAINT CYR,FRANCE,"37540","2021-01-07 14:58:41",
FR_SLHB_45770,SARAN LOIRET HANDBALL,SARAN,FRANCE,"45770","2021-01-07 14:58:41",
FR_SMVHB_27200,SAINT-MARCEL VERNON HANDBALL,ST-MARCEL VERNON,FRANCE,"27200","2021-01-07 14:58:41",
FR_SRVHB_83700,SAINT-RAPHAEL VAR HANDBALL,SAINT-RAPHAEL,FRANCE,"83700","2021-01-07 14:58:41",
FR_TFHB_93290,TREMBLAY EN FRANCE HANDBALL,TREMBLAY,FRANCE,"93290","2021-01-07 14:58:41",
FR_USAMNG_30918,USAM NIMES GARD,NIMES,FRANCE,"30918","2021-01-07 14:58:41",
FR_USCHB_94000,US CRETEIL HANDBALL,CRETEIL,FRANCE,"94000","2021-01-07 14:58:41",
FR_USIHB_94200,US IVRY HANDBALL,IVRY,FRANCE,"94200","2021-01-07 14:58:41",
FR_VHBA_69100,VILLEURBANNE HANDBALL ASSOCIATION,VILLEURBANNE,FRANCE,"69100","2021-01-07 14:58:41",
INTER_ALLEMAGNE,EQUIPE NATIONALE D'ALLEMAGNE,"",ALLEMAGNE,"","2021-07-25 19:36:05",
INTER_ARGENTINE,EQUIPE NATIONALE D'ARGENTINE,"",ARGENTINE,"","2021-07-25 19:36:05",
INTER_BAHRAIN,EQUIPE NATIONALE DU BAHRAIN,"",BAHRAIN,"","2021-07-25 19:36:05",
INTER_BRESIL,EQUIPE NATIONALE DU BRESIL,"",BRESIL,"","2021-07-25 19:36:05",
INTER_DANEMARK,EQUIPE NATIONALE DU DANEMARK,"",DANEMARK,"","2021-07-25 19:36:05",
INTER_EGYPTE,EQUIPE NATIONALE D'EGYPTE,"",EGYPTE,"","2021-07-25 19:36:05",
INTER_ESPAGNE,EQUIPE NATIONALE D'ESPAGNE,"",ESPAGNE,"","2021-07-25 19:36:05",
INTER_FRANCE,EQUIPE NATIONALE DE FRANCE,"",FRANCE,"","2021-04-30 15:13:39",
INTER_GRECE,EQUIPE NATIONALE DE GRÃˆCE,"",GRECE,"","2021-04-30 15:13:39",
INTER_JAPON,EQUIPE NATIONALE DU JAPON,"",JAPON,"","2021-07-25 19:36:05",
INTER_NORVEGE,EQUIPE NATIONALE DE NORVEGE,"",NORVEGE,"","2021-07-25 19:36:05",
INTER_PORTUGAL,EQUIPE NATIONALE DU PORTUGAL,"",PORTUGAL,"","2021-07-25 19:36:05",
INTER_SUEDE,EQUIPE NATIONALE DE SUEDE,"",SUEDE,"","2021-07-25 19:36:05",
